scenario,scenario_label,domain,metric,label,unit,year_2010,base_year,target_year,value_2010,value_base,value_2050,growth_2010_to_base_pct,growth_2010_to_2050_pct,growth_base_to_2050_pct,data_type_2010,data_type_base,data_type_2050,source_id,note
initiative_linear,Scénario initiative,Logement,subsidized_housing,Logements subventionnés,logements,2010,2024,2050,19415,22128,,13.97,,,observed,observed,missing,ocstat_geneva_housing_subsidized,Série observée sans projection politique 2050.
initiative_linear,Scénario initiative,Écoles,students,Élèves et étudiants,personnes,2010,2024,2050,102659,121819,167391.8,18.66,63.06,37.41,observed,observed,estimated,ge_education_annuary,Effectifs scolaires; 2050 estimé par tendance si la série est fournie.
initiative_linear,Scénario initiative,Écoles,school_classes,Classes scolaires,classes,2010,2024,2050,,5489,5821,,,6.05,missing,estimated,estimated,ge_education_annuary,Classes équivalentes estimées depuis les effectifs et la taille moyenne OFS; 2050 = base estimée + besoin additionnel.
initiative_linear,Scénario initiative,Tension,absorption_pressure,Tension d’absorption,points,2010,2024,2050,0,19.75,34.16,19.75,34.16,-18.24,observed,estimated,estimated,absorption_pressure_v1,"Indice composite V1: effort d’absorption logement 35%, écoles 20%, santé 20%, transports 25%. L’impact coût correspond à l’écart de tension du scénario par rapport à la tendance actuelle."
initiative_linear,Scénario initiative,Aide sociale,social_assistance_spending,Aide sociale économique (Suisse),M CHF,2010,2024,2050,1931.95292,2585.633862,3632.18,33.84,88.01,40.48,official_proxy,official_proxy,estimated,bfs_fibs_social_assistance_ch,Dépenses nettes d’aide sociale économique OFS FIBS Suisse; proxy de croissance en attente de l’export cantonal Genève. 2050 = tendance coût ajustée par l’écart de tension vs tendance actuelle.
initiative_linear,Scénario initiative,Aide santé,health_premium_subsidy_cantonal,Subsides maladie cantonaux,M CHF,2010,2024,2050,158.2,447.77,1006.74,183.04,536.37,124.83,observed,observed,estimated,ofsp_health_premium_subsidies;rts_geneva_health_subsidy_reform_2020,"Part cantonale des réductions de primes LAMal; rupture de régime 2020 documentée, 2050 = lissage linéaire 10 ans ajusté par l’écart de tension vs tendance actuelle."
initiative_linear,Scénario initiative,Santé,health_cost_per_insured,Coût santé par assuré,CHF/an,2010,2024,2050,3969.8,5762.8,9414.14,45.17,137.14,63.36,observed,observed,estimated,ofsp_dashboard_health_insurance,Coûts annuels par assuré; 2050 = tendance coût ajustée par l’écart de tension vs tendance actuelle.
initiative_linear,Scénario initiative,Santé,physicians,Médecins,médecins,2010,2024,2050,,,,,,,missing,missing,missing,ocstat_geneva_health_system,Série médecins historique lacunaire; ne pas confondre avec le besoin additionnel.
initiative_linear,Scénario initiative,Santé,hospital_beds,Lits hospitaliers,lits,2010,2024,2050,2714,,,,,,observed,missing,missing,ocstat_geneva_health_system,Lits observés; 2050 = stock base + besoin additionnel si le stock existe.
initiative_linear,Scénario initiative,Transports publics,tpg_passengers,Fréquentation TPG,voyageurs/an,2010,2024,2050,172057000,222254000,357537502.71,29.17,107.8,60.87,observed,observed,estimated,ocstat_geneva_transport,Fréquentation annuelle; 2050 estimé par tendance si la série est complète.
initiative_linear,Scénario initiative,Transports publics,transport_revenue,Revenus des transports TPG,M CHF,2010,2024,2050,127.9,156.55,227.87,22.4,78.16,45.56,observed,observed,estimated,tpg_annual_reports_finance,Revenus des transports selon comptes de résultat TPG; 2050 estimé par tendance.
initiative_linear,Scénario initiative,Transports publics,operating_subsidy,Subvention / indemnité TPG,M CHF,2010,2024,2050,183.54,283.37,519.03,54.39,182.79,83.16,observed,observed,estimated,tpg_annual_reports_finance,Indemnité/subvention d’exploitation; 2050 = tendance coût ajustée par l’écart de tension vs tendance actuelle.
initiative_linear,Scénario initiative,Transports publics,operating_expenses,Charges d’exploitation TPG,M CHF,2010,2024,2050,354.89,551.98,1024.99,55.54,188.82,85.69,observed,observed,estimated,tpg_annual_reports_finance,Charges d’exploitation selon comptes de résultat TPG; 2050 = tendance coût ajustée par l’écart de tension vs tendance actuelle.
initiative_cagr,Scénario initiative CAGR,Démographie,population,Population résidante,habitants,2010,2024,2050,453292,524410,582410,15.69,28.48,11.06,observed,observed,estimated,ocstat_geneva_population,Population observée puis scénario 2050.
initiative_cagr,Scénario initiative CAGR,Démographie,annual_growth,Croissance annuelle,habitants/an,2010,2024,2050,7186,10296,2345,43.28,-67.37,-77.22,observed,observed,estimated,ocstat_geneva_population,Variation annuelle observée; 2050 correspond à la croissance annuelle du scénario.
initiative_cagr,Scénario initiative CAGR,Démographie,population_growth_cumulative,Croissance cumulée population,%,2010,2024,2050,0,15.69,28.48,15.69,28.48,12.79,observed,observed,estimated,ocstat_geneva_population,"Croissance réelle cumulée depuis 2010: 2010 = 0 %, base observée puis projection 2050 selon le scénario."
initiative_cagr,Scénario initiative CAGR,Économie,gdp,PIB cantonal,M CHF,2010,2024,2050,48388.04695,62877,102270.11,29.94,111.35,62.65,observed,observed,estimated,bfs_ocstat_geneva_gdp,PIB cantonal; 2050 estimé par CAGR 2010-base si la série est fournie.
initiative_cagr,Scénario initiative CAGR,Logement,housing_stock,Logements totaux,logements,2010,2024,2050,215840.18,251810,279430,16.67,29.46,10.97,estimated,observed,estimated,ocstat_geneva_housing,"Stock observé depuis la première année disponible; 2010 est une estimation extrapolée linéairement pour afficher la croissance cumulée, 2050 = stock base + besoin additionnel du scénario."
initiative_cagr,Scénario initiative CAGR,Logement,subsidized_housing,Logements subventionnés,logements,2010,2024,2050,19415,22128,,13.97,,,observed,observed,missing,ocstat_geneva_housing_subsidized,Série observée sans projection politique 2050.
initiative_cagr,Scénario initiative CAGR,Écoles,students,Élèves et étudiants,personnes,2010,2024,2050,102659,121819,167391.8,18.66,63.06,37.41,observed,observed,estimated,ge_education_annuary,Effectifs scolaires; 2050 estimé par tendance si la série est fournie.
initiative_cagr,Scénario initiative CAGR,Écoles,school_classes,Classes scolaires,classes,2010,2024,2050,,5489,5821,,,6.05,missing,estimated,estimated,ge_education_annuary,Classes équivalentes estimées depuis les effectifs et la taille moyenne OFS; 2050 = base estimée + besoin additionnel.
